     Time_Now  Buffer_Level 
      2.48692             2
      2.94338       3.54354
      3.21787       5.26905
      3.40221       7.08471
      3.49809       8.98883
      3.59379       10.8931
      3.68911       12.7978
      3.78299       14.7039
      3.87721       16.6097
      3.97097        18.516
      4.06515       20.4218
      4.16214       22.3248
       4.2582       24.2287
      4.35307       26.1338
      4.44818       28.0387
       4.5471       29.9398
        4.645       31.8419
      4.74479       33.7421
      4.86016       35.6268
      5.05004       37.4369
      5.24699       39.2399
      5.47478       41.0121
      5.68595        42.801
      5.89974       44.5872
      6.10525       46.3817
      6.29918       48.1877
      6.49608       49.9908
      6.68726       51.7997
      6.87079       53.6161
      7.05546       55.4315
      7.44527       57.0416
      7.85091        58.636
      8.32375       60.1632
      8.64801       61.8389
