     Time_Now  Buffer_Level 
      2.48692             2
      2.94338       3.54354
      3.21787       5.26905
       3.4022       7.08472
      3.49809       8.98883
      3.59379       10.8931
       3.6891       12.7978
      3.78299       14.7039
      3.87721       16.6097
      3.97097        18.516
      4.06515       20.4218
      4.16214       22.3248
       4.2582       24.2287
      4.35307       26.1339
      4.44818       28.0387
       4.5471       29.9398
      4.64499       31.8419
      4.74478       33.7421
      4.86016       35.6268
      5.05003       37.4369
      5.24698       39.2399
      5.47485       41.0121
      5.69075       42.7962
      5.90134       44.5856
      6.09973       46.3872
      6.29458       48.1923
      6.48903       49.9979
      6.67959       51.8073
