     Time_Now  Buffer_Level 
      2.48692             0
      2.48692             2
      2.94338       1.54354
      2.94338       3.54354
      3.21787       3.26905
      3.21787       5.26905
       3.4022       5.08472
       3.4022       7.08472
      3.49809       6.98883
      3.49809       8.98883
      3.59379       8.89313
      3.59379       10.8931
       3.6891       10.7978
       3.6891       12.7978
      3.78299       12.7039
      3.78299       14.7039
      3.87721       14.6097
      3.87721       16.6097
      3.97097        16.516
      3.97097        18.516
      4.06515       18.4218
      4.06515       20.4218
      4.16214       20.3248
      4.16214       22.3248
       4.2582       22.2287
       4.2582       24.2287
      4.35307       24.1339
      4.35307       26.1339
      4.44817       26.0387
      4.44817       28.0387
       4.5471       27.9398
       4.5471       29.9398
      4.64499       29.8419
      4.64499       31.8419
      4.74478       31.7421
      4.74478       33.7421
      4.86015       33.6268
      4.86015       35.6268
      5.05002       35.4369
      5.05002       37.4369
      5.24698       37.2399
      5.24698       39.2399
      5.47485       39.0121
      5.47485       41.0121
      5.69075       40.7962
      5.69075       42.7962
      5.90134       42.5856
      5.90134       44.5856
      6.09973       44.3872
      6.09973       46.3872
      6.29458       46.1923
      6.29458       48.1923
      6.48902       47.9979
      6.48902       49.9979
      6.67959       49.8073
      6.67959       51.8073
      6.86397        51.623
      6.86397        53.623
      7.05204       53.4349
      7.05204       55.4349
      7.44374       55.0432
      7.44374       57.0432
      7.85489        56.632
      7.85489        58.632
      8.32643       58.1605
      8.32643       60.1605
