     Time_Now  Buffer_Level 
      2.48692             2
      2.94338       3.54354
      3.21787       5.26905
       3.4022       7.08472
      3.49808       8.98884
      3.59378       10.8931
       3.6891       12.7978
      3.78298       14.7039
      3.87719       16.6097
      3.97095        18.516
      4.06514       20.4218
      4.15947       22.3274
      4.25308       24.2338
       4.3461       26.1408
      4.43906       28.0479
      4.53371       29.9532
       4.6286       31.8583
       4.7237       33.7632
      4.81923       35.6677
      4.91497       37.5719
       5.0109        39.476
      5.11088        41.376
      5.21245       43.2745
      5.31003       45.1769
      5.40573       47.0812
      5.50235       48.9846
      5.59787        50.889
      5.69393        52.793
      5.78988        54.697
      5.88516       56.6018
      5.97977       58.5072
      6.07425       60.4127
      6.16975       62.3172
      6.26263       64.2243
      6.35665       66.1303
      6.44887        68.038
      6.54146       69.9455
      6.63426       71.8527
      6.72716       73.7598
      6.81988        75.667
      6.91296        77.574
      7.00627       79.4806
      7.09975       81.3872
       7.1934       83.2935
      7.28554       85.2014
      7.37814       87.1088
       7.4713       89.0156
      7.56397       90.9229
      7.65763       92.8293
       7.7497       94.7372
      7.84168       96.6452
      7.93263       98.5543
      8.02569       100.461
      8.12227       102.365
      8.22001       104.267
      8.31874       106.168
       8.4193       108.068
      8.51586       109.971
      8.61522       111.872
      8.70824       113.779
      8.80413       115.683
      8.89993       117.587
      8.99458       119.492
      9.08893       121.398
      9.18434       123.303
      9.27809       125.209
      9.37139       127.116
      9.46558       129.021
      9.55834       130.929
      9.65289       132.834
      9.74878       134.738
      9.84242       136.644
      9.93749       138.549
      10.0303       140.457
      10.1209       142.366
      10.2178       144.269
      10.3176       146.169
      10.4182       148.069
      10.5148       149.972
       10.613       151.874
      10.7108       153.776
      10.8136       155.673
      10.9113       157.576
      11.0095       159.477
      11.1107       161.376
      11.2087       163.278
      11.3047       165.182
      11.4002       167.087
      11.4982       168.989
      11.5963       170.891
      11.6943       172.793
      11.7973        174.69
      11.8949       176.592
      11.9922       178.495
      12.0905       180.396
      12.1842       182.303
      12.2831       184.204
      12.3813       186.106
      12.4761       188.011
      12.5722       189.915
      12.6712       191.816
      12.7662       193.721
      12.8609       195.626
       12.954       197.533
      13.0474       199.439
      13.1416       201.345
      13.2393       203.248
      13.3366        205.15
      13.4317       207.055
      13.5252       208.962
      13.6209       210.866
      13.7141       212.773
      13.8058       214.681
      13.8977       216.589
      13.9895       218.497
      14.0812       220.406
      14.1747       222.312
      14.2689       224.218
      14.3648       226.122
      14.4605       228.026
       14.558       229.929
      14.6534       231.833
      14.7481       233.739
       14.841       235.646
        14.94       237.547
      15.0395       239.447
      15.1374        241.35
      15.2364        243.25
       15.334       245.153
      15.4311       247.056
      15.5257       248.961
        15.62       250.867
      15.7153       252.772
       15.811       254.676
      15.9048       256.582
      15.9999       258.487
      16.0935       260.393
      16.1885       262.298
      16.2825       264.204
      16.3771        266.11
      16.4702       268.017
      16.5645       269.922
      16.6621       271.825
      16.7598       273.727
      16.8561       275.631
      16.9521       277.535
       17.047        279.44
      17.1421       281.345
      17.2356       283.251
      17.3288       285.158
      17.4233       287.064
      17.5176       288.969
       17.613       290.874
      17.7089       292.778
      17.8035       294.683
      17.8977       296.589
      17.9913       298.496
      18.0883       300.399
      18.1845       302.302
      18.2785       304.208
       18.373       306.114
       18.471       308.016
      18.5674       309.919
      18.6621       311.825
      18.7562       313.731
       18.851       315.636
      18.9483       317.539
      19.0462       319.441
      19.1426       321.344
      19.2373        323.25
      19.3296       325.157
      19.4228       327.064
      19.5171        328.97
      19.6099       330.877
      19.7018       332.785
      19.7941       334.693
      19.8869         336.6
      19.9785       338.508
      20.0695       340.417
      20.1608       342.326
      20.2521       344.235
      20.3431       346.144
      20.4346       348.052
      20.5259       349.961
      20.6181       351.869
      20.7098       353.777
      20.8014       355.686
      20.8941       357.593
      20.9873         359.5
      21.0845       361.402
      21.1827       363.304
       21.281       365.206
      21.3798       367.107
      21.4793       369.008
      21.5794       370.907
       21.676       372.811
      21.7701       374.717
      21.8622       376.625
       21.955       378.532
      22.0474       380.439
      22.1411       382.346
      22.2337       384.253
      22.3275       386.159
      22.4213       388.066
      22.5146       389.972
      22.6068        391.88
      22.7007       393.786
      22.7937       395.693
      22.8877       397.599
       22.981       399.506
      23.0718       401.415
      23.1632       403.324
      23.2554       405.232
      23.3481       407.139
      23.4411       409.046
      23.5343       410.953
      23.6288       412.858
      23.7245       414.762
      23.8153       416.672
      23.9075       418.579
