     Time_Now  Buffer_Level 
      2.48692             0
      2.48692             2
       4.3157      0.171222
       4.3157       2.17122
      5.89252      0.594401
      5.89252        2.5944
      7.70663      0.780287
      7.70663       2.78029
      8.98091       1.50601
      8.98091       3.50601
      10.0803       2.40666
      10.0803       4.40666
      10.9353       3.55163
      10.9353       5.55162
      11.6247       4.86222
      11.6247       6.86222
      12.4702       6.01674
      12.4702       8.01674
      13.2619       7.22501
      13.2619       9.22501
      14.1315        8.3554
      14.1315       10.3554
       15.009       9.47787
       15.009       11.4779
      15.8683       10.6186
      15.8683       12.6186
      16.3688       12.1181
      16.3688       14.1181
      16.9439        13.543
      16.9439        15.543
      17.7796       14.7073
      17.7796       16.7073
      18.7015       15.7854
      18.7015       17.7854
      19.7263       16.7606
      19.7263       18.7606
       21.018        17.469
       21.018        19.469
      22.3048       18.1821
      22.3048       20.1821
      23.5624       18.9245
      23.5624       20.9245
      24.8979        19.589
      24.8979        21.589
      26.0033       20.4837
      26.0033       22.4837
      27.3944       21.0925
      27.3944       23.0925
      28.6387       21.8483
      28.6387       23.8483
      29.9365       22.5504
      29.9365       24.5504
      31.0322       23.4548
      31.0322       25.4548
      31.9965       24.4904
      31.9965       26.4904
       32.963       25.5239
       32.963       27.5239
      34.0453       26.4417
      34.0453       28.4417
      34.9366       27.5503
      34.9366       29.5503
      35.8261       28.6609
      35.8261       30.6609
       36.788       29.6989
       36.788       31.6989
      37.5468       30.9402
      37.5468       32.9402
      38.3253       32.1616
      38.3253       34.1616
      38.8807       33.6063
      38.8807       35.6063
      39.5419        34.945
      39.5419        36.945
      40.0363       36.4506
      40.0363       38.4506
      40.5442       37.9427
      40.5442       39.9427
       41.039       39.4479
       41.039       41.4479
      41.6505       40.8365
      41.6505       42.8365
