     Time_Now  Buffer_Level 
      2.48692             0
      2.48692             2
      2.94338       1.54354
      2.94338       3.54354
      3.21787       3.26905
      3.21787       5.26905
       3.4022       5.08472
       3.4022       7.08472
      3.49809       6.98883
      3.49809       8.98883
      3.59379       8.89313
      3.59379       10.8931
       3.6891       10.7978
       3.6891       12.7978
      3.78299       12.7039
      3.78299       14.7039
       3.8772       14.6097
       3.8772       16.6097
      3.97096        16.516
      3.97096        18.516
      4.06515       18.4218
      4.06515       20.4218
      4.15948       20.3274
      4.15948       22.3274
       4.2531       22.2338
       4.2531       24.2338
      4.34612       24.1408
      4.34612       26.1408
      4.43907       26.0478
      4.43907       28.0478
      4.53372       27.9532
      4.53372       29.9532
      4.62861       29.8583
      4.62861       31.8583
      4.72372       31.7632
      4.72372       33.7632
      4.81924       33.6677
      4.81924       35.6677
      4.91499       35.5719
      4.91499       37.5719
      14.2983       28.1886
      14.2983       30.1886
      14.4073       30.0796
      14.4073       32.0796
      16.8996       29.5873
      16.8996       31.5873
      17.9565       30.5304
      17.9565       32.5304
        20.84       29.6469
        20.84       31.6469
      24.3489        28.138
      24.3489        30.138
      24.4649        30.022
      24.4649        32.022
      26.8409        29.646
      26.8409        31.646
      30.0831       28.4038
      30.0831       30.4038
       30.962       29.5249
       30.962       31.5249
       33.391        29.096
       33.391        31.096
      34.1104       30.3765
      34.1104       32.3765
      35.3031       31.1838
      35.3031       33.1838
       38.088       30.3989
       38.088       32.3989
      41.7168       28.7701
      41.7168       30.7701
      41.8272       30.6598
      41.8272       32.6598
      45.4216       29.0653
      45.4216       31.0653
      48.2168       28.2701
      48.2168       30.2701
      50.5826       27.9043
      50.5826       29.9043
      50.7189        29.768
      50.7189        31.768
      51.6829        30.804
      51.6829        32.804
       55.094        29.393
       55.094        31.393
      55.9846       30.5024
      55.9846       32.5024
      57.7255       30.7614
      57.7255       32.7614
      62.2306       28.2563
      62.2306       30.2563
       63.694       28.7929
       63.694       30.7929
      64.0505       30.4364
      64.0505       32.4364
      67.1015       29.3854
      67.1015       31.3854
      69.6261       28.8608
      69.6261       30.8608
      72.0737       28.4132
      72.0737       30.4132
      73.3823       29.1046
      73.3823       31.1046
      74.7162       29.7707
      74.7162       31.7707
      75.7717       30.7152
      75.7717       32.7152
      78.3436       30.1433
      78.3436       32.1433
