     Time_Now  Buffer_Level 
      2.48692             2
      2.94338       3.54354
      3.21787       5.26905
       3.4022       7.08472
      3.49808       8.98884
      3.59378       10.8931
       3.6891       12.7978
      3.78298       14.7039
      3.87719       16.6097
      3.97095        18.516
      4.06514       20.4218
      4.15947       22.3274
      4.25308       24.2338
       4.3461       26.1408
      4.43906       28.0479
      4.53371       29.9532
       4.6286       31.8583
       4.7237       33.7632
      4.81923       35.6677
      4.91497       37.5719
      14.2932       30.1937
      14.3964       32.0905
      16.8937       31.5932
      17.9499        32.537
      20.8352       31.6517
      24.3439        30.143
      24.4405       32.0464
      26.8228       31.6642
      30.0656       30.4214
      30.9406       31.5463
      33.3785       31.1085
      34.0919        32.395
      35.2133       33.2736
      38.0608       32.4261
      41.6834       30.8036
      41.7755       32.7114
      45.3989        31.088
      48.1964       30.2905
      50.4954       29.9915
      50.5888       31.8981
      51.5748       32.9121
      54.9845       31.5024
      55.8775       32.6094
      57.6283       32.8587
      62.1135       30.3734
      63.5582       30.9287
      63.8569         32.63
      66.9144       31.5725
      69.4109       31.0761
      71.8758       30.6111
      73.0651       31.4218
      74.5985       31.8884
      74.9461       33.5408
      76.8609        33.626
      81.4521       31.0348
      82.6895       31.7975
       82.788       33.6989
      87.5649        30.922
      90.4076       30.0793
      92.1022       30.3847
      92.1988       32.2882
       95.206        31.281
      95.3021       33.1849
      98.0367       32.4502
      102.168       30.3185
      103.683       30.8042
      104.005       32.4822
      106.986       31.5006
      108.781       31.7055
      109.918       32.5694
      113.015       31.4716
      115.777       30.7098
      117.805       30.6823
      120.311        30.176
      120.402       32.0848
      123.341        31.146
      124.778       31.7085
      125.589       32.8978
      127.677       32.8104
      129.087       33.3996
      130.883       33.6035
      136.165       30.3215
      137.108       31.3787
      137.249       33.2377
      141.925       30.5617
      142.026       32.4614
      144.832       31.6548
      147.961       30.5264
      149.925       30.5623
      150.661       31.8262
      152.969       31.5181
      156.232       30.2547
       156.33       32.1565
      159.483       31.0037
      159.686       32.8006
      164.347       30.1395
      164.449       32.0379
      166.595       31.8918
      168.239       32.2482
       172.27       30.2168
      173.414        31.073
      176.156        30.331
      177.465        31.022
      178.633       31.8537
      181.885       30.6022
      183.188       31.2985
      183.287       33.2003
      186.082       32.4054
      190.189       30.2975
      190.283       32.2034
      192.581       31.9064
      196.485       30.0018
      196.577       31.9096
      196.669        33.818
      198.631       33.8557
       204.37       30.1173
      204.463       32.0239
      206.884       31.6031
      209.235       31.2519
      212.285       30.2015
      214.444       30.0433
       214.54        31.947
       217.93       30.5565
      218.023       32.4635
      221.488       30.9988
       224.52        29.967
      225.875       30.6118
      225.975       32.5123
      228.011        32.476
      229.013       33.4744
      230.655       33.8316
      236.321       30.1663
      236.416        32.071
      239.023       31.4643
      239.856       32.6309
      243.373       31.1144
      243.627       32.8602
      246.152       32.3348
      250.353       30.1341
      250.448       32.0392
      253.021       31.4656
      253.837       32.6501
      254.627       33.8594
      259.475       31.0116
      259.846       32.6414
      260.678       33.8093
      264.748       31.7393
      265.692       32.7953
      268.461       32.0264
      268.881       33.6058
      270.878       33.6092
      273.803       32.6835
      275.403       33.0842
       279.71       30.7774
      279.805       32.6816
      284.303       30.1835
      285.125       31.3621
      285.221       33.2659
      290.176       30.3105
      292.552       29.9348
      294.531       29.9554
      296.253       30.2342
      297.778       30.7086
      300.533        29.954
      300.627       31.8596
      301.051       33.4362
      305.326       31.1608
       307.22       31.2666
      308.624       31.8633
      311.095       31.3922
      313.354       31.1329
      313.447       33.0395
      317.833       30.6542
      318.879       31.6076
      321.437       31.0504
      324.577       29.9099
      324.669       31.8178
      325.086       33.4012
      327.685       32.8017
      332.335       30.1522
      332.426       32.0611
      333.981        32.506
      335.041       33.4464
       337.69       32.7971
       339.11       33.3773
      341.786       32.7006
      343.414       33.0732
      347.138       31.3492
      347.823        32.664
      352.496       29.9905
      353.116       31.3713
      353.261       33.2255
      357.649        30.838
       358.31       32.1768
      359.214        33.273
      361.237       33.2495
      364.259       32.2283
       367.43       31.0566
       369.87       30.6166
      372.298       30.1891
       372.39       32.0964
      374.127       32.3598
      378.265       30.2224
      378.358        32.129
      382.428       30.0589
      382.604       31.8828
      382.697       33.7897
      386.304       32.1831
      389.113       31.3743
      389.786       32.7005
      391.542       32.9448
      395.918       30.5687
      396.672       31.8153
      398.006       32.4806
      402.514       29.9725
      402.686        31.801
      405.216       31.2714
      405.352       33.1347
      407.242       33.2449
       411.94       30.5474
      412.031       32.4555
      415.257       31.2297
