     Time_Now  Buffer_Level 
      2.48692             2
      2.94338       3.54354
      3.21787       5.26905
       3.4022       7.08472
      3.49808       8.98884
      3.59378       10.8931
       3.6891       12.7978
      3.78298       14.7039
      3.87719       16.6097
      3.97095        18.516
      4.06514       20.4218
      4.15947       22.3274
      4.46432       24.0226
      5.15244       25.3345
      6.19227       26.2946
      7.54186       26.9451
      8.95974       27.5272
       10.446       28.0409
      11.8093       28.6776
      13.2736       29.2134
      16.1072       28.3797
      18.5548       27.9322
      20.9863       27.5006
      23.0513       27.4356
      24.8035       27.6834
      26.4767       28.0102
       28.079       28.4079
      29.6193       28.8676
       31.302        29.185
      32.9272       29.5597
      34.4999        29.987
      36.2291       30.2579
      37.9105       30.5764
      39.5455       30.9415
      41.3485       31.1385
      44.1631       30.3238
      46.8419        29.645
      49.6184       28.8685
      52.1032       28.3837
      54.3169         28.17
      56.2765       28.2104
      58.1897       28.2972
      60.0616       28.4253
       61.893       28.5939
      63.6854       28.8015
      65.4451       29.0418
      67.1714       29.3155
      68.8663       29.6206
      70.7333       29.7536
      72.5675       29.9194
      74.3724       30.1146
      76.1486       30.3383
      77.9028       30.5841
      79.8349        30.652
       81.739       30.7479
      83.6183       30.8686
      85.4723       31.0146
      87.3018       31.1851
      89.1156       31.3713
      91.1057       31.3812
      93.0815       31.4054
      95.0337       31.4532
      96.9663       31.5206
      99.7265       30.7604
      102.436       30.0506
      105.095        29.392
      107.513       28.9738
      109.902       28.5846
       112.06       28.4269
      113.987       28.4997
      115.893       28.5938
      117.776       28.7111
      119.638       28.8485
      121.478       29.0089
      123.296       29.1909
      125.102       29.3854
      127.086       29.4014
      129.046       29.4405
      130.988       29.4988
      132.907       29.5798
      134.811        29.676
      136.701        29.786
      138.563       29.9244
      140.416       30.0713
      142.253       30.2335
      144.071       30.4161
      146.076        30.411
      148.066       30.4209
      150.042       30.4448
      152.001       30.4864
      153.944       30.5424
      155.877       30.6103
      157.792       30.6953
      159.695       30.7924
      161.587       30.8995
      163.464        31.023
      165.335       31.1522
       167.19       31.2968
      169.233       31.2537
      171.263       31.2238
      173.285       31.2022
      175.289       31.1975
      177.286       31.2008
       179.27       31.2166
      181.245       31.2417
      183.211       31.2758
      185.171       31.3163
      187.114       31.3728
      189.048       31.4387
      190.973       31.5138
       192.89       31.5967
      194.798       31.6885
      196.697       31.7896
      198.589       31.8983
      200.472       32.0152
      202.347       32.1396
      204.216       32.2707
      206.276       32.2107
      208.329       32.1578
      210.372        32.115
      212.408       32.0789
      214.433       32.0537
      216.453       32.0342
      218.461       32.0258
      220.472       32.0153
      222.469       32.0179
      224.458       32.0286
      226.442       32.0445
      228.418        32.069
      230.387       32.0997
      232.349       32.1377
      234.307       32.1796
      236.259       32.2275
      238.205       32.2819
      240.142       32.3447
      242.077       32.4103
      244.003       32.4835
      245.928       32.5591
      247.843       32.6436
      249.755       32.7318
       251.66       32.8272
      254.562       31.9251
      257.445       31.0424
      260.301       30.1858
      262.941       29.5459
      265.566       28.9214
      267.974       28.5134
       270.17       28.3169
      272.152       28.3347
      274.127       28.3604
       276.09       28.3967
      278.043       28.4442
      279.986       28.5009
      281.917       28.5696
      283.838       28.6489
      285.748       28.7385
       287.65       28.8367
      289.545       28.9415
      291.428       29.0594
      293.299       29.1879
      295.164       29.3228
      297.222       29.2652
      299.265       29.2222
      301.298       29.1888
      303.324       29.1634
      305.338       29.1488
      307.349        29.138
      309.345       29.1416
      311.334       29.1531
      313.312        29.175
      315.282       29.2048
      317.246       29.2411
      319.201       29.2857
      321.147       29.3396
      323.085       29.4018
      325.016       29.4705
      326.939       29.5475
      328.856        29.631
      330.762       29.7247
      332.663       29.8241
      334.556       29.9306
      336.442       30.0445
      338.322       30.1651
      340.194       30.2931
       342.26       30.2269
      344.317       30.1697
      346.368       30.1192
      348.411       30.0762
      350.446       30.0411
      352.479       30.0075
      354.502       29.9853
      356.517         29.97
      358.525       29.9622
      360.326       30.1609
      362.123       30.3642
      363.909       30.5784
       365.89       30.5967
      367.866       30.6213
      369.839       30.6475
      371.803       30.6842
      373.762       30.7247
      375.715       30.7719
      377.663       30.8236
      379.604       30.8827
      381.539       30.9475
      383.469       31.0183
      385.394        31.093
      387.312       31.1747
      389.427         31.06
      391.533       30.9535
      393.632        30.855
      395.728       30.7589
      397.618       30.8687
      399.503       30.9836
      401.383       31.1036
      403.258       31.2286
      405.129       31.3575
      407.196       31.2909
      409.251       31.2364
      411.306       31.1812
      413.355        31.132
      415.399       31.0876
